n_max,Delta (dB),Approx. overlap,r0 (dB),c0_0,c0_2,c0_4,c0_6,c0_8,c0_10,c0_12,Navg0,Fidelity0,r1 (dB),c1_0,c1_2,c1_4,c1_6,c1_8,c1_10,c1_12,Navg1,Fidelity1
4,9.0,0.008301131518084544,2.538693536767367,0.6744397317474384,-0.220470782823327,0.7046443657347509,0.0,0.0,0.0,0.0,3.0002410243314164,0.8231093859718639,-2.253303710358941,0.14395873135488227,0.6658642363358215,0.7320523905041534,0.0,0.0,0.0,0.0,4.505764095372991,0.9012489628578215
4,9.2,0.009176957008814234,2.563344743118272,0.6657073424549119,-0.21216277667535433,0.7154164454384394,0.0,0.0,0.0,0.0,3.0637230497376335,0.8103836826755738,-2.269759854919088,0.1400102284288372,0.6595550106954736,0.7385014040634515,0.0,0.0,0.0,0.0,4.541684898762047,0.8897461960882136
4,9.4,0.010020188430114815,2.586526510393361,0.6572191579973584,-0.20400858903498603,0.725564245233503,0.0,0.0,0.0,0.0,3.123664045098609,0.7973296982412327,-2.2849284919234156,0.13629031582649306,0.6534248872554559,0.7446212906764026,0.0,0.0,0.0,0.0,4.575235754411073,0.8775036298398595
4,9.6,0.010826315924666862,2.6083389619978172,0.6489810702020364,-0.1960288661221805,0.7351164902069897,0.0,0.0,0.0,0.0,3.1801901589851287,0.7839679331100745,-2.2988988307739717,0.13278587420131277,0.647478431361353,0.7504262738837233,0.0,0.0,0.0,0.0,4.606545082488475,0.8645475448137666
4,9.8,0.011592269260227914,2.628875202194503,0.6409972170313589,-0.1882403131393344,0.7441022458421013,0.0,0.0,0.0,0.0,3.2334378308282323,0.7703186908640703,-2.311755643859285,0.12948428655728195,0.6417187910371162,0.755930428524319,0.0,0.0,0.0,0.0,4.635739695642793,0.8509112432072163
4,10.0,0.012316147343865205,2.648221522104145,0.6332701293865076,-0.1806561203591572,0.7525505361134681,0.0,0.0,0.0,0.0,3.283550300210382,0.75640219376357,-2.323579530919549,0.12637357299024468,0.636147551807403,0.7611478255760794,0.0,0.0,0.0,0.0,4.662944689546843,0.8366342696487171
4,10.2,0.012997047966733295,2.666458393804703,0.6258008027013809,-0.17328633201773105,0.7604901067563278,0.0,0.0,0.0,0.0,3.3306755181029897,0.7422387353608004,-2.334446217073439,0.1234423353667595,0.6307652856571078,0.7660921251711328,0.0,0.0,0.0,0.0,4.688281022398492,0.8217615071877508
4,10.4,0.013634831434951542,2.683659955478062,0.6185889692720455,-0.1661383081756225,0.7679490540835823,0.0,0.0,0.0,0.0,3.3749625357419126,0.7278488471802729,-2.344427054708851,0.12067985971660128,0.625571392807128,0.7707767536774276,0.0,0.0,0.0,0.0,4.711865929091426,0.8063421940539018
4,10.6,0.01423000627967147,2.6998948728937133,0.6116331478426029,-0.15921697873136992,0.7749547381265554,0.0,0.0,0.0,0.0,3.4165602708894682,0.713253457958485,-2.353589065075234,0.11807594452900354,0.6205644477448884,0.775214704143495,0.0,0.0,0.0,0.0,4.733812020898886,0.790428906977705
4,10.8,0.014783551327294671,2.7152267438459123,0.6049307884742783,-0.15252516174300318,0.7815336308765982,0.0,0.0,0.0,0.0,3.455615867543625,0.6984740271000849,-2.361994934819589,0.11562104519009417,0.6157421941379231,0.7794185809097604,0.0,0.0,0.0,0.0,4.754226993466474,0.7740765536747187
4,11.0,0.015296855517847999,2.729714623398363,0.5984784302751504,-0.14606392043270977,0.7877111778428324,0.0,0.0,0.0,0.0,3.4922734702527416,0.683532638359847,-2.369703434992072,0.11330603481266688,0.6111017583086702,0.7834005255741572,0.0,0.0,0.0,0.0,4.773213605948896,0.7573414112593593
6,3.0,0.09350997671877356,0.9420727533942509,0.9523980598911621,-0.27014016553179726,0.14128774356711432,7.837855071302701e-09,0.0,0.0,0.0,0.3513961583613885,0.9985766244217127,-1.447309768232017,0.38588693591640727,0.7801748744875698,0.47967260227906755,0.1110523864246855,0.0,0.0,0.0,3.0472947003215936,0.9999897088211773
6,3.2,0.08129841907802722,0.9814642009153183,0.9466671066673791,-0.2810438242729614,0.1575936483314749,-2.134453702346035e-09,0.0,0.0,0.0,0.39746093449952924,0.9980559127442644,-1.5774045145039504,0.3676180738868798,0.776009183791977,0.4981601975897949,0.12042888348580136,0.0,0.0,0.0,3.238643534535181,0.9999842772907138
6,3.4,0.07010509993077911,1.0275065277085165,0.9404734817223622,-0.29137412276272134,0.17495928326337584,-1.6605088459158148e-08,0.0,0.0,0.0,0.44923528970827065,0.9973865085444238,-1.7046494582873037,0.3497679968437045,0.7706890957456725,0.5164433018304455,0.13033411716210175,0.0,0.0,0.0,3.436739130205302,0.999976029215818
6,3.6,0.05989383404898982,1.0798110204483033,0.9338125128456802,-0.3010158737937966,0.19334847963528,7.459363144210483e-09,0.0,0.0,0.0,0.507073602913955,0.9965398318137402,-1.8289572749543461,0.33237307847763686,0.7642517260862057,0.5344459599998561,0.1407655913829714,0.0,0.0,0.0,3.6413705126033045,0.9999636203036005
6,3.8,0.0506277839140177,1.1378416535068967,0.9266867103561434,-0.30985209739776576,0.21270500367432627,3.008190602122235e-09,0.0,0.0,0.0,0.5712385446781894,0.9954855730838597,-1.950244169531938,0.31546562070062206,0.7567412671946707,0.5520924423152151,0.1517169463860703,0.0,0.0,0.0,3.8522641402415565,0.9999451552005489
6,4.0,0.04227102932180926,1.200905326456667,0.9191066894390717,-0.3177685706369321,0.23295070067235635,-1.0264065656738283e-08,0.0,0.0,0.0,0.6418660574101402,0.9941923889248194,-2.0684295499487764,0.29907403677244754,0.7482086899261072,0.569307972130877,0.163177540476466,0.0,0.0,0.0,4.069079463696088,0.9999180103357135
